"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,1,0,0,0,0
4,2,0,0,0,0
4,3,0,0,0,0
4,4,0,0,0,0
4,5,0,0,0,0
4,6,0,0,0,0
4,7,0,0,0,0
4,8,1,1,1,1
4,9,0,0,0,0
4,10,0,0,0,0
4,11,0,0,0,0
4,12,0,0,0,0
4,13,0,0,0,0
4,14,0,0,0,0
4,15,0,0,0,0
4,16,0,0,0,0
4,17,0,1,0,1
4,18,0,0,0,0
4,19,0,0,0,0
4,20,0,0,0,0
4,21,0,0,0,0
4,22,0,0,0,0
4,23,0,0,0,0
4,24,0,1,0,1
4,25,0,0,0,0
4,26,0,0,0,0
4,27,0,0,0,0
4,28,0,1,0,1
4,29,0,0,0,0
4,30,0,1,0,1
4,31,0,0,0,0
4,32,0,0,0,0
4,33,0,0,0,0
4,34,0,0,0,0
4,35,0,0,0,0
4,36,0,0,0,0
4,37,0,1,0,1
4,38,0,0,0,0
4,39,0,0,0,0
4,40,0,1,0,1
4,41,0,0,0,0
4,42,0,1,0,1
4,43,0,1,0,1
4,44,0,1,0,1
4,45,0,0,0,0
4,46,0,1,0,1
4,47,0,0,0,0
4,48,0,0,0,0
4,49,0,0,0,0
4,50,1,1,1,1
4,51,1,1,1,1
4,52,0,0,0,0
4,53,0,0,0,0
4,54,1,1,1,1
4,55,0,0,0,0
4,56,0,0,0,0
4,57,0,0,0,0
4,58,0,0,0,0
4,59,0,0,0,0
4,60,0,0,0,0
4,61,0,0,0,0
4,62,0,0,0,0
4,63,0,0,0,0
4,64,0,0,0,0
4,65,0,0,0,0
4,66,0,0,0,0
4,67,0,1,0,1
4,68,0,0,0,0
4,69,0,0,0,0
4,70,0,0,0,0
4,71,0,1,0,1
4,72,0,0,0,0
4,73,0,0,0,0
4,74,0,0,0,0
4,75,0,0,0,0
4,76,0,0,0,0
4,77,0,0,0,0
4,78,0,0,0,0
4,79,0,0,0,0
4,80,0,0,0,0
4,81,0,0,0,0
4,82,0,0,0,0
4,83,0,0,0,0
4,84,0,1,0,1
4,85,0,1,0,1
4,86,0,0,0,0
4,87,0,0,0,0
4,88,0,1,0,1
4,89,0,0,0,0
4,90,0,0,0,0
4,91,0,0,0,0
4,92,0,0,0,0
4,93,0,0,0,0
4,94,0,0,0,0
4,95,0,0,0,0
4,96,0,1,0,1
4,97,0,0,0,0
4,98,0,0,0,0
4,99,0,0,0,0
4,100,0,1,0,1
5,1,0,0,0,0
5,2,0,0,0,0
5,3,0,0,0,0
5,4,0,0.5,0,1
5,5,0,0,0,0
5,6,0,0,0,0
5,7,0,0,0,0
5,8,0,0.5,0,1
5,9,0,0.5,0,1
5,10,0,0,0,0
5,11,0,0,0,0
5,12,0,0,0,0
5,13,0,0,0,0
5,14,0,0.5,0,1
5,15,0,0,0,0
5,16,0,0.5,0,1
5,17,0,0.5,0,1
5,18,0,0,0,0
5,19,0,1,0,3
5,20,0,0,0,0
5,21,0.5,0.5,1,1
5,22,0,0,0,0
5,23,0,0.5,0,1
5,24,0,0.5,0,1
5,25,0,0,0,0
5,26,0,0,0,0
5,27,0,0,0,0
5,28,0,0.5,0,1
5,29,0.5,0.5,1,1
5,30,0,0.5,0,1
5,31,0,0,0,0
5,32,0,0.5,0,1
5,33,0,0.5,0,1
5,34,0,0,0,0
5,35,0,1,0,3
5,36,0,0.5,0,1
5,37,0,0,0,0
5,38,0.5,0,1,0
5,39,0,0,0,0
5,40,0.5,0.5,1,1
5,41,0,0,0,0
5,42,1,1,3,3
5,43,0,0,0,0
5,44,0.5,0.5,1,1
5,45,0,0,0,0
5,46,0,0,0,0
5,47,0,0,0,0
5,48,0,0,0,0
5,49,0,0,0,0
5,50,0,0,0,0
5,51,0,0,0,0
5,52,0,0,0,0
5,53,0,0.5,0,1
5,54,0,0.5,0,1
5,55,0,0,0,0
5,56,0,0.5,0,1
5,57,0,0.5,0,1
5,58,0,0,0,0
5,59,0,0.5,0,1
