"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,73,0,0,0,0
4,74,0,0,0,0
5,73,0,0,0,0
5,74,0,0,0,0
6,73,0,0,0,0
6,74,0,0.333333333333333,0,1
7,73,0,0,0,0
7,74,0,0,0,0
8,73,0.2,0.2,1,1
8,74,0,0,0,0
9,73,0.333333333333333,0,3,0
9,74,0,0,0,0
10,73,0,0,0,0
10,74,0,0.142857142857143,0,1
16,73,0,0,0,0
16,74,0.384615384615385,0,10,0
32,73,0,0.0689655172413793,0,2
32,74,0.0344827586206897,0.0344827586206897,1,1
64,73,0.0655737704918033,0.0491803278688525,4,3
64,74,0.0983606557377049,0.0491803278688525,9,3
128,73,0.216,0.056,105,9
128,74,0.088,0.056,15,8
256,73,0.154150197628458,0.0513833992094862,131,14
256,74,0.150197628458498,0.0395256916996047,55,11
512,73,0.143418467583497,0.068762278978389,198,52
512,74,0.166994106090373,0.0805500982318271,171,55
1024,73,0.181194906953967,0.0646425073457395,482,84
1024,74,0.120470127326151,0.0852105778648384,311,183
2048,73,0.176528117359413,0.0929095354523227,1085,414
2048,74,0.153545232273839,0.0904645476772616,686,377
